anio,mes,recaudacion,emae,ipc_argentina,ipc_cordoba,ipc_tucuman,ipc_santafe,ipc_gba,ipc_mendoza
1968,1,,,,,,,,1.6274634002086146e-10
1968,2,,,,,0.0070513878572803,,,1.6148751274461678e-10
1968,3,,,,,0.0209995540509995,,,1.6214553609356288e-10
1968,4,,,,,-0.0114301098463756,,,1.6135876904590995e-10
1968,5,,,,,-0.0065316647202823,,,1.6298952256286326e-10
1968,6,,,,,0.0062749416757673,,,1.6349019250227878e-10
1968,7,,,,,0.0119646920435272,,,1.6218845065979848e-10
1968,8,,,,,-0.0118232307288964,,,1.61573341877088e-10
1968,9,,,,,0.0156847921576378,,,1.6313257111698198e-10
1968,10,,,,,-9.995412105843038e-05,,,1.6434848382699102e-10
1968,11,,,,,-0.0004864920160329,,,1.6393364302004679e-10
1968,12,,,,,0.0097015719006794,,,1.647776294893472e-10
1969,1,,,,,0.0093181339431402,,,1.6442000810405042e-10
1969,2,,,,,0.0079697344403226,,,1.6909769582373242e-10
1969,3,,,,,0.0045341207924051,,,1.6978432888350223e-10
1969,4,,,,,-0.0107512291318959,,,1.7055679107574327e-10
1969,5,,,,,0.006501314828628,,,1.7160104552080988e-10
1969,6,,,,,0.011374790186453,,,1.7257377568881715e-10
1969,7,,,,,0.0036230826263675,,,1.7122911928010122e-10
1969,8,,,,,0.0011431304127672,,,1.7237350771305095e-10
1969,9,,,,,0.0058780367248775,,,1.740614806516518e-10
1969,10,,,,,0.0049043929075813,,,1.7517725937377778e-10
1969,11,,,,,0.0055428726845072,,,1.7839585184144887e-10
1969,12,,,,,0.0239847274815486,,,1.8069893356276016e-10
1970,1,,,,,0.0046683885638131,,,1.845755493793773e-10
1970,2,,,,,0.0154818614877244,,,1.8649240000456806e-10
1970,3,,,,,0.0149150503683656,,,1.913560508446044e-10
1970,4,,,,,0.0097774880744273,,,1.9265779268708468e-10
1970,5,,,,,0.0064845515096389,,,1.9443159475815676e-10
1970,6,,,,,0.0088916098186693,,,2.016841564519756e-10
1970,7,,,,,0.0365821943537435,,,2.037583604866969e-10
1970,8,,,,,0.035179661583921,,,2.042447255707005e-10
1970,9,,,,,0.0269287733943717,,,2.0915129097697243e-10
1970,10,,,,,0.026615969581749,,,2.1638954781537937e-10
1970,11,,,,,0.0245466155810984,,,2.228267327507216e-10
1970,12,,,,,0.0357757223704219,,,2.2926391768606368e-10
1971,1,,,,,0.0620035623164685,,,2.4455580812135426e-10
1971,2,,,,,0.0413852499886677,,,2.5180836981517307e-10
1971,3,,,,,0.0221337163750327,,,2.5232334461000044e-10
1971,4,,,,,0.0114127541786436,,,2.6063446560429777e-10
